id	sentence	cluster	count
0	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	2	50
1	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	2	50
2	He also alleged Susan Bucher, the supervisor of elections in Palm Beach County, had run afoul of state law by duplicating and damaging certain ballots.	2	50
3	In a separate suit against Snipes, Scott's campaign asked a judge to block Broward County from counting any of the ballots it didn't include in the unofficial results it submitted to the Florida Department of State by noon Saturday, a deadline set by state law.	2	50
4	Florida accepts vote-by-mail ballots until 7 pm on Election Day and the county may not have them all counted by Saturday's deadline.	2	50
9	 The two marquee races in Florida remain so tight they are officially headed toward a recount, the state secretary of state, Ken Detzner-an appointee of current Florida governor and Republican Senate candidate Rick Scott-announced Saturday.	2	50
10	As the state begins its second tally, the original count in the Senate race gives Scott an ever-so-slim 12,500-vote lead of 8 million votes cast over Democratic incumbent Sen. Bill Nelson.	2	50
11	The recounts seemed inevitable as the races tightened in the aftermath of Tuesday's vote and became a certainty after the noon deadline Saturday for county election supervisors to submit their results passed with both races within the 0.5 percent margin that legally mandates a recount.	2	50
12	In the governor's race, which stands at a 0.4 percent margin, a legally required machine recount will be undertaken.	2	50
13	In the Senate race, because it's closer than 0.25 percent, an additional hand recount is required by law of votes that were not initially counted by the voting machines for whatever reason.	2	50
14	"The machine recount must be completed by Thursday at 5 pm ""In Broward and Palm Beach counties Saturday morning, attorneys from both parties quibbled over ballots in which the intent or eligibility of the voter was in doubt as the minutes ticked toward a noon deadline,"" the Washington Post reports."	2	50
15	The Florida Department of State has sent monitors to Broward County, which had tallied more than 700,000 votes as of Thursday afternoon, stemming from a lawsuit over the county's mishandling of 2016 congressional race ballots.	2	50
16	Further complicating matters in the Senate race is a potential ballot design flaw that may have caused tens of thousands of voters to skip over the Senate contest in Broward County, which was buried underneath the ballot instructions.	2	50
18	 Andrew Gillum, the mayor of Tallahassee and Democratic nominee for Florida governor, has withdrawn his Election Day concession to opponent and hero to racists, Ron DeSantis.	2	50
20	Florida is doing a recount of votes.	2	50
21	Earlier today, Ken Detzner, Florida's Secretary of State, announced that the state was doing a recount via machine.	2	50
23	The recount will also apply to the Senate race between Republican Governor Rick Scott and Democratic Senator, Bill Nelson.	2	50
26	Georgia and Arizona are also fighting to get every vote counted, with particular attention on Stacey Abrams, who has yet to concede to former Secretary of State Brian Kemp in Georgia's battle for governor.	2	50
28	 Florida began the first full, statewide vote recount in its history on Saturday after authorities found that tallies submitted by its 67 counties left the contests for Senate, governor and agriculture commissioner too close to call.	2	50
29	Recounts were also ordered in a State Senate race and two contests for the State House, a measure of the slender margins in the nation's largest swing state that have left two of the most closely watched races in the country still undecided, four days after the midterm elections.	2	50
30	The sight of grim-faced candidates, shouting protesters outside the Broward County elections office and lawyers flown in from Washington evoked memories of Florida's hotly contested recount over the 2000 presidential election between George W Bush and Al Gore and capped off one of the most bitterly divisive midterm election seasons in years.	1	3
31	In Arizona, Kyrsten Sinema, the Democratic candidate in the state's uncalled Senate race, expanded her lead on Friday to 20,203 votes over Martha McSally, the Republican contender - and thousands of ballots were still to be counted.	2	50
32	Mr Scott, who has filed lawsuits against elections officials in Broward and Palm Beach Counties over the handling of ballots, made it clear he was not expecting to relinquish the seat he claimed on Tuesday night and suggested the latest results filed on Saturday had reconfirmed it.	2	50
33	Daniel A Smith, chairman of the political science department at the University of Florida, said 41,000 Floridians requested mail-in ballots from overseas, so elections supervisors were simply inundated with ballots to count after Election Day.	2	50
34	Mr Scott claimed fraud in Broward County even though the state was monitoring Dr Snipes's office during the election.	2	50
37	 Florida has ordered a machine recount of votes for state governor and senator following last week's closely fought mid-term elections, officials say.	2	50
39	In the race for Florida's Senate seat, unofficial results revealed a gap of just 0.15% between the votes for incumbent Democrat Bill Nelson and Mr Scott.	2	50
40	Mr Scott, who claimed victory on Tuesday, is suing officials over an election recount, while Mr Nelson is suing over uncounted ballots - and there have also been a number of protests outside the elections office.	2	50
41	"Mr Nelson responded to the legal action in a statement on Sunday, saying his rival, the state's outgoing governor, was making ""false and panicked"" voter fraud claims because he was afraid of losing."	2	50
45	 Florida's Senate and governor's races have gone to a recount that will decide two key offices in the largest US swing state, setting off outcries from Republicans led by President Donald Trump and Rick Scott, the state's governor now vying to be a US Senator.	2	50
46	In the Senate race, the unofficial count had Republican Scott leading incumbent Democrat Bill Nelson by about 12,600 votes among roughly 8.2 million votes cast in the Nov 6 election.	2	50
48	"Scott's ""own Republican officials in Florida said there is no fraud,"" Senate Democratic Leader Chuck Schumer said on CNN Sunday."	2	50
49	Scott declared victory on election night, but slow vote-counting in Democrat-leaning Broward and Palm Beach counties narrowed the race to within the margin that dictates a recount.	2	50
50	Trump, Scott and other Republicans have attempted to sow doubt about the process and raise suspicions about electoral officials, especially Broward County's election supervisor Brenda Snipes, who oversaw the vote in the state's second-most populous county, which includes Fort Lauderdale and Coral Springs.	2	50
51	The 2000 presidential election was decided when the US Supreme Court halted a Florida recount and made Republican George W Bush the winner over Democrat Al Gore.	1	3
53	The race for Florida's agriculture commissioner will go to a recount as well, with Democrat Nikki Fried now edging Republican Matt Caldwell by about 5,300 votes.	2	50
54	" Florida Republican Senate candidate Rick Scott insisted Monday he ""won the election"" while accusing incumbent Democratic Sen. Bill Nelson of trying to ""steal"" the race from him, amid chaotic recounts in the sunshine state's Senate and gubernatorial races."	2	50
55	Over the weekend, Florida's secretary of state Ken Detzner announced there would be recounts in both the Senate race and the governor's race, noting that unofficial results in both races fell within the margin that by law triggers a recount.	2	50
56	"Scott, who is Florida's outgoing Republican governor, filed two bombshell lawsuits against election officials in two Democratic strongholds in Florida-Broward County and Palm Beach County-flagging them for engaging in potentially ""rampant fraud."""	2	50
57	In the Florida governor's race, Republican candidate Ron DeSantis was announced the winner by the end of Election Day, with his Democratic opponent Andrew Gillum conceding on the night of the election.	2	50
58	Both Scott and DeSantis led their races after the midterms on Tuesday, but as the days went on, and more votes were counted, those leads had all but disappeared.	2	50
59	"""The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots showed up out of nowhere, and many ballots are missing or forged."	2	50
60	In Georgia's gubernatorial race, Republican Brian Kemp declared victory, though his Democratic opponent Stacey Abrams refused to concede and filed a federal lawsuit in an effort to force a runoff election.	2	50
61	And in Arizona, the race to replace Sen. Jeff Flake, R-Ariz., has yet to be settled, as Democratic candidate Rep. Kyrsten Sinema increased her advantage over Republican candidate Rep. Martha McSally by more than 32,000 votes as of Sunday.	2	50
63	 Florida authorities on Saturday ordered a statewide recount in the contentious races for US Senate and governor, amid tit-for-tat accusations of fraud from the candidates - plunging the state once again into election uncertainty.	2	50
65	After the cut-off, the Senate race between outgoing Republican governor Rick Scott and incumbent Democrat Bill Nelson was super close: Scott's lead stood at just 12,562 votes out of nearly 8.2 million cast, a margin of just 0.15 percent.	2	50
66	In the governor's race, the latest unofficial results on the Florida division of elections website show Republican Ron DeSantis, who was backed by Donald Trump, leading Democratic candidate Andrew Gillum by just 33,684 votes out of more than 8.2 million cast, or a margin of 0.41 percent.	2	50
69	"""Bad things are going on in Broward Country, really bad things,"" Trump added, referring to a Democrat-heavy county where officials were slowly counting votes including absentee and provisional ballots."	2	50
71	Those recounts were halted by the US Supreme Court, and Bush defeated Gore by 537 votes in Florida to win the presidency.	1	3
72	 Florida election officials ordered statewide ballot recounts Saturday as ferocious battles over vote tallies left Senate and governor's races there in doubt.	2	50
73	Unofficial vote totals submitted today at noon gave Republican Ron DeSantis a 0.4 percent edge over Democrat Andrew Gillum in the governor's race, triggering an automatic machine recount under state law.	2	50
74	Rick Scott's advantage over incumbent Sen. Bill Nelson in the fight for a seat in the US Senate was just 0.15 percent - 12,562 votes out of nearly 8.2 million cast.	2	50
75	If the machine recount yields a margin of victory less than 0.25 percent, state law requires Florida to conduct a hand recount that could take weeks.	2	50
